55 %	722 	1292
55 %	665 	1207
53 %	166 	309
43 %	319 	728
28 %	133 	475
17 %	237 	1377
47 %	470 	1000
36 %	623 	1689
29 %	210 	722
30 %	133 	440
54 %	127 	233
54 %	297 	541
57 %	310 	540
57 %	189 	327
58 %	234 	399
59 %	87 	147
57 %	125 	219
57 %	158 	275
55 %	93 	169
56 %	196 	347
54 %	141 	261
57 %	206 	360
55 %	57 	103
57 %	187 	324
60 %	108 	180
60 %	99 	165
60 %	99 	165
60 %	108 	180
57 %	156 	270
56 %	269 	474
55 %	294 	530
51 %	314 	608
28 %	497 	1739
23 %	719 	3010
19 %	473 	2388
37 %	793 	2089
12 %	202 	1645
42 %	694 	1627
16 %	171 	1038
38 %	665 	1709
55 %	344 	616
57 %	367 	639
44 %	127 	287
Pacman emerges victorious! Score: 869
21 %	118 	552
25 %	469 	1856
44 %	585 	1325
45 %	554 	1208
46 %	932 	1986
22 %	112 	488
37 %	153 	408
50 %	499 	997
40 %	630 	1560
37 %	691 	1825
39 %	195 	499
41 %	133 	321
51 %	51 	100
50 %	78 	156
47 %	188 	392
49 %	130 	264
39 %	206 	518
28 %	52 	180
31 %	83 	267
41 %	57 	137
43 %	162 	374
42 %	302 	714
36 %	429 	1181
40 %	420 	1042
36 %	461 	1266
16 %	246 	1524
39 %	649 	1632
36 %	679 	1870
39 %	270 	683
49 %	440 	884
56 %	284 	503
50 %	200 	396
55 %	209 	374
50 %	240 	476
55 %	381 	681
51 %	200 	388
52 %	141 	267
48 %	210 	436
47 %	194 	408
48 %	446 	926
48 %	194 	400
48 %	248 	512
50 %	447 	889
49 %	358 	722
55 %	564 	1011
51 %	124 	242
55 %	315 	564
51 %	236 	462
56 %	281 	500
52 %	170 	324
59 %	78 	132
56 %	63 	111
40 %	89 	219
25 %	72 	281
23 %	123 	530
20 %	148 	718
16 %	142 	857
34 %	130 	380
27 %	39 	143
24 %	116 	478
34 %	143 	420
46 %	204 	437
48 %	224 	462
52 %	202 	386
52 %	114 	219
28 %	108 	381
35 %	142 	399
42 %	296 	690
44 %	312 	698
55 %	219 	394
39 %	217 	556
18 %	179 	948
20 %	541 	2620
41 %	1175 	2836
48 %	554 	1150
22 %	136 	593
32 %	170 	518
48 %	197 	405
31 %	175 	563
52 %	139 	265
54 %	116 	211
37 %	238 	632
40 %	221 	540
60 %	111 	183
60 %	102 	168
40 %	101 	247
35 %	65 	185
34 %	81 	236
43 %	78 	180
50 %	130 	256
46 %	70 	150
38 %	156 	408
25 %	268 	1034
42 %	243 	570
32 %	85 	260
41 %	169 	409
26 %	242 	920
45 %	83 	181
27 %	118 	434
47 %	210 	438
51 %	121 	233
49 %	433 	871
47 %	678 	1442
50 %	318 	632
46 %	576 	1232
49 %	516 	1044
48 %	974 	2014
50 %	495 	983
46 %	480 	1028
47 %	814 	1730
48 %	435 	905
48 %	226 	466
47 %	234 	490
50 %	252 	498
49 %	170 	346
53 %	95 	177
57 %	57 	99
60 %	99 	165
60 %	102 	168
60 %	111 	183
54 %	111 	203
45 %	108 	236
48 %	226 	470
54 %	254 	466
56 %	812 	1447
55 %	486 	874
56 %	1063 	1879
55 %	781 	1397
50 %	752 	1476
48 %	590 	1227
46 %	406 	866
49 %	550 	1102
54 %	302 	554
56 %	187 	329
54 %	700 	1293
56 %	1652 	2920
54 %	1293 	2361
52 %	606 	1150
44 %	689 	1553
39 %	693 	1771
26 %	249 	923
29 %	306 	1050
21 %	277 	1297
24 %	159 	649
46 %	801 	1730
42 %	607 	1412
48 %	739 	1525
32 %	214 	656
21 %	246 	1131
42 %	773 	1828
21 %	262 	1204
50 %	342 	680
46 %	296 	634
43 %	639 	1462
52 %	464 	876
51 %	312 	604
53 %	377 	711
50 %	481 	951
50 %	510 	1020
45 %	833 	1811
56 %	371 	652
56 %	1391 	2483
55 %	2280 	4117
56 %	2323 	4129
56 %	1623 	2867
55 %	1040 	1876
56 %	709 	1262
55 %	2291 	4142
52 %	1270 	2442
56 %	1401 	2499
54 %	1293 	2361
49 %	487 	975
39 %	410 	1032
39 %	851 	2171
26 %	276 	1047
31 %	241 	767
26 %	611 	2318
41 %	375 	905
51 %	152 	298
55 %	381 	681
49 %	234 	476
56 %	250 	439
51 %	80 	154
54 %	151 	276
49 %	152 	309
48 %	321 	657
44 %	244 	552
40 %	494 	1234
48 %	500 	1038
54 %	1115 	2040
49 %	582 	1172
54 %	531 	969
46 %	703 	1503
51 %	212 	412
51 %	348 	679
52 %	83 	158
52 %	50 	96
49 %	86 	174
49 %	160 	326
51 %	175 	341
50 %	188 	372
52 %	126 	240
47 %	188 	392
49 %	532 	1080
47 %	814 	1730
49 %	603 	1211
47 %	710 	1508
50 %	318 	632
47 %	384 	812
48 %	239 	491
50 %	234 	462
48 %	304 	632
48 %	334 	692
49 %	433 	871
48 %	844 	1752
54 %	1305 	2387
50 %	838 	1660
55 %	679 	1226
55 %	1384 	2516
56 %	296 	522
57 %	282 	488
58 %	350 	602
58 %	121 	206
58 %	220 	379
57 %	310 	540
57 %	242 	424
56 %	363 	641
57 %	877 	1535
53 %	1143 	2152
57 %	779 	1357
57 %	726 	1265
60 %	99 	165
59 %	105 
